Date,Interval,Pantabangan Elevation,Casecnan Initial Volume,Casecnan Elevation,CHEPP Capability
01/25/2026,1,211.31,718065,456.9,144
01/25/2026,2,211.31,756167,457.1,144
01/25/2026,3,211.31,795308,457.3,144
01/25/2026,4,211.31,834979,457.5,144
01/25/2026,5,211.31,896439,457.8,144
01/25/2026,6,211.31,917333,457.9,144
01/25/2026,7,211.31,959690,458.1,144
01/25/2026,8,211.31,1002823,458.3,144
01/25/2026,9,211.31,1046861,458.5,144
01/25/2026,10,211.31,1069245,458.6,144
01/25/2026,11,211.31,1024720,458.4,144
01/25/2026,12,211.31,959690,458.1,144
01/25/2026,13,211.31,917333,457.9,144
01/25/2026,14,211.31,938419,458,144
01/25/2026,15,211.31,917333,457.9,144
01/25/2026,16,211.31,875744,457.7,144
01/25/2026,17,211.31,814916,457.4,144
01/25/2026,18,211.31,718065,456.9,144
01/25/2026,19,211.31,644338,456.5,144
01/25/2026,20,211.31,556186,456,144
01/25/2026,21,211.31,473672,455.5,144
01/25/2026,22,211.31,505941,455.7,144
01/25/2026,23,211.31,556186,456,144
01/25/2026,24,211.31,590895,456.2,144
