Unnamed: 0,Id,Resource ID,Classification,Trading Hour,Probable Breach Flag,Violation Type,Reasons,Date From,Date To,Brief Description,File,Status,Registered Capacity,Offered Capacity
,17835169,01CASECN_U02,Scheduled,2026-01-25 01:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835170,01CASECN_U02,Scheduled,2026-01-25 02:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835171,01CASECN_U02,Scheduled,2026-01-25 03:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835172,01CASECN_U02,Scheduled,2026-01-25 04:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835173,01CASECN_U02,Scheduled,2026-01-25 05:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835174,01CASECN_U02,Scheduled,2026-01-25 06:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835175,01CASECN_U02,Scheduled,2026-01-25 07:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835176,01CASECN_U02,Scheduled,2026-01-25 08:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835177,01CASECN_U02,Scheduled,2026-01-25 09:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835178,01CASECN_U02,Scheduled,2026-01-25 10:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835179,01CASECN_U02,Scheduled,2026-01-25 11:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835180,01CASECN_U02,Scheduled,2026-01-25 12:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835181,01CASECN_U02,Scheduled,2026-01-25 13:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835182,01CASECN_U02,Scheduled,2026-01-25 14:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835183,01CASECN_U02,Scheduled,2026-01-25 15:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835184,01CASECN_U02,Scheduled,2026-01-25 16:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835185,01CASECN_U02,Scheduled,2026-01-25 17:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835186,01CASECN_U02,Scheduled,2026-01-25 18:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835187,01CASECN_U02,Scheduled,2026-01-25 19:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835188,01CASECN_U02,Scheduled,2026-01-25 20:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835189,01CASECN_U02,Scheduled,2026-01-25 21:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835190,01CASECN_U02,Scheduled,2026-01-25 22:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835191,01CASECN_U02,Scheduled,2026-01-25 23:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835192,01CASECN_U02,Scheduled,2026-01-26 00:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835145,01CASECN_U01,Scheduled,2026-01-25 01:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835146,01CASECN_U01,Scheduled,2026-01-25 02:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835147,01CASECN_U01,Scheduled,2026-01-25 03:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835148,01CASECN_U01,Scheduled,2026-01-25 04:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835149,01CASECN_U01,Scheduled,2026-01-25 05:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835150,01CASECN_U01,Scheduled,2026-01-25 06:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835151,01CASECN_U01,Scheduled,2026-01-25 07:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835152,01CASECN_U01,Scheduled,2026-01-25 08:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835153,01CASECN_U01,Scheduled,2026-01-25 09:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835154,01CASECN_U01,Scheduled,2026-01-25 10:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,60
,17835161,01CASECN_U01,Scheduled,2026-01-25 17:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835162,01CASECN_U01,Scheduled,2026-01-25 18:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835163,01CASECN_U01,Scheduled,2026-01-25 19:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835164,01CASECN_U01,Scheduled,2026-01-25 20:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,75
,17835165,01CASECN_U01,Scheduled,2026-01-25 21:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835166,01CASECN_U01,Scheduled,2026-01-25 22:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835167,01CASECN_U01,Scheduled,2026-01-25 23:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
,17835168,01CASECN_U01,Scheduled,2026-01-26 00:00:00,1,10,Select Reason...,,,,No file,For Submission,82.5,0
